# RUNRANGE	datasetpath	DATASETNAME	STORAGE_ELEMENT	USER_REMOTE_DIR_BASE	VALIDITY	PERIOD
# RUNRANGE used to produce the sandbox
# DATASETPATH
# DATASETNAME: short name to indicated the dataset, this name is given to the directory in EOS
# STORAGE_ELEMENT: caf, T2_IT_Rome
203777-208686	/DoubleElectron/Run2012D-ZElectron-22Jan2013-v1/RAW-RECO	DoubleElectron-ZSkim-RUN2012D-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012D,RUN2012ABCD
#
##### SingleElectron
190645-193621	/SingleElectron/Run2012A-v1/RAW	SingleElectron-WSkim-RUN2012A-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012A,RUN2012AB,RUN2012ABC,RUN2012ABCD
193834-196531	/SingleElectron/Run2012B-v1/RAW	SingleElectron-WSkim-RUN2012B-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012B,RUN2012AB,RUN2012ABC,RUN2012ABCD
198022-203742	/SingleElectron/Run2012C-v1/RAW	SingleElectron-WSkim-RUN2012C-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012C,RUN2012ABC,RUN2012ABCD
203777-208686	/SingleElectron/Run2012D-v1/RAW	SingleElectron-WSkim-RUN2012D-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012ABCD,RUN2012D
####### Single Electron 22JanReReco from Skim 
190645-193621 /SingleElectron/Run2012A-22Jan2013-v1/RECO  SingleElectron-Run2012A-22Jan2013-v1  caf /group/alca_ecalcalib/ecalelf/alcaraw VALID RUN2012A,RUN2012AB,RUN2012ABC,RUN2012ABCD
193834-196531 /SingleElectron/Run2012B-22Jan2013-v1/RECO  SingleElectron-Run2012B-22Jan2013-v1  caf /group/alca_ecalcalib/ecalelf/alcaraw VALID RUN2012B,RUN2012AB,RUN2012ABC,RUN2012ABCD
198022-203742 /SingleElectron/Run2012C-22Jan2013-v1/RECO  SingleElectron-Run2012C-22Jan2013-v1  caf /group/alca_ecalcalib/ecalelf/alcaraw VALID RUN2012C,RUN2012AB,RUN2012ABC,RUN2012ABCD
203756-208686 /SingleElectron/Run2012D-22Jan2013-v1/AOD   SingleElectron-Run2012D-22Jan2013-v1  caf /group/alca_ecalcalib/ecalelf/alcaraw VALID RUN2012D,RUN2012AB,RUN2012ABC,RUN2012ABCD
