283820-283829	161714	1477082967-1477117478
283830-283864	77190	1477117698-1477139392
283865-283875	153426	1477157463-1477184899
283876-283876	92530	1477193994-1477209357
283877-283884	206601	1477209646-1477275794
283885-283933	197163	1477275984-1477337382
283934-283945	156746	1477337649-1477367743
283946-283963	172177	1477380735-1477412801
283964-284024	100478	1477413024-1477460610
284025-284036	114932	1477472259-1477493045
